"caller_phone","receiver_phone","call_count","total_duration","call_date","first_call_time","last_call_time","avg_call_duration","max_call_duration","min_call_duration","call_pattern","proximity_pattern","matched_suspect_id","matched_victim_id","calls_per_day","time_synchronized_txn","matching_txn_date","matching_txn_amount","prosecution_grade","caller_name","receiver_name","caller_role","receiver_role"
"9870000001","9110000001","7","5957","2025-01-29","11:08:17","15:17:31","851","1191","372","REGULAR","NEAR","S001","V001","7.0","TRUE","2025-01-29","?4,380,165","B","Salim Mishra","Aarav Reddy","SUSPECT","VICTIM"
"9876029008","9119124053","4","2076","2025-01-21","13:46:40","21:38:39","519","708","234","REGULAR","ROAMING","UNKNOWN","UNKNOWN","4.0","TRUE","2025-01-21","?7,486,455","C","Unknown","Unknown","UNKNOWN","UNKNOWN"
"9877638609","9116573679","21","11319","2025-01-26","20:21:27","10:19:20","539","855","209","PERSISTENT","MEDIUM","UNKNOWN","UNKNOWN","21.0","TRUE","2025-01-26","?5,104,198","A","Unknown","Unknown","UNKNOWN","UNKNOWN"
"9870000004","9116354241","11","9471","2025-02-14","21:36:50","13:20:24","861","1307","659","OCCASIONAL","ROAMING","S004","UNKNOWN","11.0","TRUE","2025-02-14","?4,462,935","C","Pooja Desai","Unknown","SUSPECT","UNKNOWN"
"9874352088","9114018677","23","16399","2025-01-06","20:45:13","20:51:18","713","1214","263","FREQUENT","ROAMING","UNKNOWN","UNKNOWN","23.0","TRUE","2025-01-06","?15,243,515","A+","Unknown","Unknown","UNKNOWN","UNKNOWN"
"9876080688","9110000002","10","8240","2025-01-14","19:50:24","08:28:38","824","1335","627","BURST","ROAMING","UNKNOWN","V002","10.0","TRUE","2025-01-14","?23,721,045","B","Unknown","Ramesh Thomas","UNKNOWN","VICTIM"
"9870000007","9111616817","13","11284","2025-02-08","08:06:49","13:42:42","868","1465","279","OCCASIONAL","MEDIUM","S007","UNKNOWN","13.0","TRUE","2025-02-08","?13,058,387","B","Ramesh Menon","Unknown","SUSPECT","UNKNOWN"
"9877704473","9116563269","15","3870","2025-01-05","09:16:14","22:47:33","258","404","127","PERSISTENT","MEDIUM","UNKNOWN","UNKNOWN","15.0","TRUE","2025-01-05","?11,377,912","B","Unknown","Unknown","UNKNOWN","UNKNOWN"
"9879396422","9113529080","13","2275","2025-02-04","09:18:26","08:07:53","175","260","92","REGULAR","DISTANT","UNKNOWN","UNKNOWN","13.0","TRUE","2025-02-04","?5,872,186","C","Unknown","Unknown","UNKNOWN","UNKNOWN"
"9870000010","9119742856","17","8602","2025-02-04","09:28:46","20:20:04","506","903","180","OCCASIONAL","NEAR","S010","UNKNOWN","17.0","TRUE","2025-02-04","?5,872,186","A","Ajay Bhat","Unknown","SUSPECT","UNKNOWN"
"9876755892","9110000003","23","7314","2025-01-20","22:11:35","11:21:35","318","457","159","BURST","ROAMING","UNKNOWN","V003","23.0","TRUE","2025-01-20","?11,517,348","A","Unknown","Lakshmi Das","UNKNOWN","VICTIM"
"9874094587","9114127053","22","18106","2025-02-01","18:01:47","12:28:37","823","1072","335","BURST","ROAMING","UNKNOWN","UNKNOWN","22.0","TRUE","2025-02-01","?15,153,244","A","Unknown","Unknown","UNKNOWN","UNKNOWN"
"9870000013","9112049645","20","5080","2025-02-08","11:23:20","12:29:07","254","410","157","OCCASIONAL","ROAMING","S013","UNKNOWN","20.0","TRUE","2025-02-08","?13,058,387","B","Yashpal Shah","Unknown","SUSPECT","UNKNOWN"
"9877520284","9117585795","20","5320","2025-01-27","17:54:29","11:52:43","266","453","121","OCCASIONAL","NEAR","UNKNOWN","UNKNOWN","20.0","TRUE","2025-01-27","?2,408,056","A+","Unknown","Unknown","UNKNOWN","UNKNOWN"
"9875002586","9116123426","5","1685","2025-01-28","10:32:24","19:38:08","337","523","183","PERSISTENT","ROAMING","UNKNOWN","UNKNOWN","5.0","TRUE","2025-01-28","?4,587,146","C","Unknown","Unknown","UNKNOWN","UNKNOWN"
"9870000016","9110000004","17","7565","2025-01-13","11:20:53","20:39:03","445","707","176","OCCASIONAL","NEAR","S016","V004","17.0","TRUE","2025-01-13","?8,893,244","A","Meena Saxena","Meera Pandey","SUSPECT","VICTIM"
"9877441514","9119479842","22","14432","2025-01-31","21:26:45","20:31:10","656","1166","269","FREQUENT","NEAR","UNKNOWN","UNKNOWN","22.0","TRUE","2025-01-31","?8,168,609","A+","Unknown","Unknown","UNKNOWN","UNKNOWN"
"9871548532","9115611266","9","6300","2025-01-23","11:49:29","21:35:32","700","1022","400","FREQUENT","NEAR","UNKNOWN","UNKNOWN","9.0","TRUE","2025-01-23","?15,624,222","A+","Unknown","Unknown","UNKNOWN","UNKNOWN"
"9870000019","9111698108","25","15025","2025-02-08","12:27:06","13:19:55","601","876","439","FREQUENT","ROAMING","S019","UNKNOWN","25.0","TRUE","2025-02-08","?13,058,387","A+","Mohini Kumar","Unknown","SUSPECT","UNKNOWN"
"9872459332","9118366370","5","1960","2025-01-18","17:55:45","19:10:39","392","700","275","REGULAR","MEDIUM","UNKNOWN","UNKNOWN","5.0","TRUE","2025-01-18","?9,346,990","B","Unknown","Unknown","UNKNOWN","UNKNOWN"
"9876885707","9110000005","10","7610","2025-02-08","11:20:45","15:18:36","761","1051","513","OCCASIONAL","NEAR","UNKNOWN","V005","10.0","TRUE","2025-02-08","?13,058,387","B","Unknown","Suresh Thomas","UNKNOWN","VICTIM"
"9870000022","9111994652","10","8210","2025-01-13","10:15:09","16:53:15","821","1137","505","BURST","ROAMING","S022","UNKNOWN","10.0","TRUE","2025-01-13","?8,893,244","B","Farooq Khan","Unknown","SUSPECT","UNKNOWN"
"9877949543","9117294347","16","3632","2025-02-14","08:25:32","14:44:59","227","424","105","OCCASIONAL","ROAMING","UNKNOWN","UNKNOWN","16.0","TRUE","2025-02-14","?4,462,935","B","Unknown","Unknown","UNKNOWN","UNKNOWN"
"9871041491","9112562657","25","15475","2025-02-14","17:54:04","23:25:13","619","988","285","BURST","MEDIUM","UNKNOWN","UNKNOWN","25.0","TRUE","2025-02-14","?4,462,935","A+","Unknown","Unknown","UNKNOWN","UNKNOWN"
"9870000025","9116666591","19","14079","2025-01-13","21:50:21","07:02:06","741","1018","540","BURST","NEAR","S025","UNKNOWN","19.0","TRUE","2025-01-13","?8,893,244","A+","Farooq Verma","Unknown","SUSPECT","UNKNOWN"
"9878403549","9110000006","2","1176","2025-01-17","10:56:41","15:10:55","588","995","250","OCCASIONAL","NEAR","UNKNOWN","V006","2.0","TRUE","2025-01-17","?7,827,542","B","Unknown","Soham Tiwari","UNKNOWN","VICTIM"
"9877238503","9113777050","3","1665","2025-02-14","15:46:44","13:27:41","555","721","298","FREQUENT","NEAR","UNKNOWN","UNKNOWN","3.0","TRUE","2025-02-14","?4,462,935","A+","Unknown","Unknown","UNKNOWN","UNKNOWN"
"9870000028","9114794852","18","15228","2025-02-02","06:00:44","16:52:07","846","1342","350","BURST","MEDIUM","S028","UNKNOWN","18.0","TRUE","2025-02-02","?8,189,631","A","Mohini Malhotra","Unknown","SUSPECT","UNKNOWN"
"9872498726","9112718442","5","2350","2025-01-28","15:08:24","10:41:43","470","760","142","REGULAR","NEAR","UNKNOWN","UNKNOWN","5.0","TRUE","2025-01-28","?4,587,146","B","Unknown","Unknown","UNKNOWN","UNKNOWN"
"9873753418","9118383643","13","11557","2025-01-18","10:58:26","20:55:13","889","1230","321","FREQUENT","NEAR","UNKNOWN","UNKNOWN","13.0","TRUE","2025-01-18","?9,346,990","A+","Unknown","Unknown","UNKNOWN","UNKNOWN"
