"call_id","caller_phone","receiver_phone","caller_tower_id","receiver_tower_id","call_start_time","call_duration_seconds","proximity_pattern","approximate_distance_km","matched_suspect_id","matched_victim_id","matched_transaction_id","suspect_movement_sequence_number","prosecution_readiness"
"CDR0001","9870000001","9110000001","DL-ND-010","DL-ED-013","2025-01-09 00:00:00","502","NEAR","5.9","S001","V001","TXN_0010","0","PARTIAL"
"CDR0002","9871548532","9116354241","FBD-S16-026","NO-S18-017","2025-01-29 00:00:00","496","MEDIUM","9.7","UNKNOWN","UNKNOWN","TXN_0056","0","PARTIAL"
"CDR0003","9877681351","9119124053","NO-S18-017","DL-CP-002","2025-01-23 00:00:00","780","NEAR","13.8","UNKNOWN","UNKNOWN","TXN_0005","0","PARTIAL"
"CDR0004","9878017921","9114127053","DL-CP-002","DL-CP-001","2025-01-15 00:00:00","1399","NEAR","24.1","UNKNOWN","UNKNOWN","TXN_0101","0","PARTIAL"
"CDR0005","9870000005","9116354241","DL-ND-010","DL-CP-002","2025-02-10 00:00:00","1292","ROAMING","24.2","S005","UNKNOWN","TXN_0153","0","PARTIAL"
"CDR0006","9876029008","9116354241","DL-CP-001","DL-WD-014","2025-01-18 00:00:00","866","DISTANT","16.9","UNKNOWN","UNKNOWN","TXN_0006","0","PARTIAL"
"CDR0007","9874352088","9110000002","DL-SD-004","DL-ED-013","2025-02-04 00:00:00","1194","ROAMING","34.9","UNKNOWN","V002","TXN_0068","0","PARTIAL"
"CDR0008","9876029008","9119124053","DL-SD-004","DL-SD-004","2025-01-28 00:00:00","1438","ROAMING","21.6","UNKNOWN","UNKNOWN","TXN_0051","0","PARTIAL"
"CDR0009","9870000009","9114018677","DL-WD-014","DL-CP-002","2025-01-28 00:00:00","646","DISTANT","20.2","S009","UNKNOWN","TXN_0051","0","PARTIAL"
"CDR0010","9874352088","9115060441","DL-SD-004","FBD-S16-026","2025-01-01 00:00:00","1131","DISTANT","12.2","UNKNOWN","UNKNOWN","NONE","0","WEAK"
"CDR0011","9875757902","9114127053","NO-S18-017","DL-CP-001","2025-01-07 00:00:00","945","MEDIUM","16.5","UNKNOWN","UNKNOWN","TXN_0034","0","PARTIAL"
"CDR0012","9876755892","9113529080","DL-CP-001","GGN-CYB-021","2025-01-19 00:00:00","723","DISTANT","28.3","UNKNOWN","UNKNOWN","TXN_0095","0","PARTIAL"
"CDR0013","9870000013","9110000003","DL-ED-013","DL-SD-004","2025-02-03 00:00:00","1087","NEAR","8.2","S013","V003","TXN_0083","0","PARTIAL"
"CDR0014","9879396422","9119930189","GGN-CYB-021","DL-ITO-036","2025-01-12 00:00:00","567","ROAMING","32.1","UNKNOWN","UNKNOWN","TXN_0027","0","PARTIAL"
"CDR0015","9874470657","9116897789","DL-WD-015","DL-CP-002","2025-02-08 00:00:00","234","NEAR","18.9","UNKNOWN","UNKNOWN","TXN_0040","0","PARTIAL"
"CDR0016","9876755892","9114794852","NO-S18-017","GGN-MG-022","2025-01-31 00:00:00","1245","DISTANT","43.2","UNKNOWN","UNKNOWN","TXN_0075","0","PARTIAL"
"CDR0017","9870000017","9112049645","DL-CP-003","FBD-S16-026","2025-01-25 00:00:00","892","DISTANT","25.6","S017","UNKNOWN","TXN_0015","0","PARTIAL"
"CDR0018","9875669851","9116563269","GGN-CYB-021","DL-ED-013","2025-02-02 00:00:00","1156","ROAMING","39.8","UNKNOWN","UNKNOWN","TXN_0060","0","PARTIAL"
"CDR0019","9877520284","9110000004","DL-ITO-036","DL-ND-010","2025-01-20 00:00:00","445","MEDIUM","12.4","UNKNOWN","V004","TXN_0028","0","PARTIAL"
"CDR0020","9875002586","9113799538","NO-S62-018","DL-WD-014","2025-01-14 00:00:00","678","DISTANT","31.7","UNKNOWN","UNKNOWN","TXN_0018","0","PARTIAL"
"CDR0021","9870000021","9118366370","DL-NDLS-035","GGN-CYB-021","2025-02-05 00:00:00","789","ROAMING","42.1","S021","UNKNOWN","TXN_0090","0","PARTIAL"
"CDR0022","9877441514","9119479842","DL-CP-001","DL-SD-007","2025-01-27 00:00:00","1067","NEAR","6.8","UNKNOWN","UNKNOWN","TXN_0118","0","PARTIAL"
"CDR0023","9871548532","9111616817","FBD-IND-029","NO-S125-019","2025-01-22 00:00:00","523","DISTANT","28.9","UNKNOWN","UNKNOWN","TXN_0009","0","PARTIAL"
"CDR0024","9877154919","9117585795","GZB-IND-029","DL-NE-056","2025-02-01 00:00:00","1344","ROAMING","45.2","UNKNOWN","UNKNOWN","TXN_0026","0","PARTIAL"
"CDR0025","9870000025","9110000005","DL-CP-002","DL-CP-003","2025-01-30 00:00:00","356","NEAR","3.1","S025","V005","TXN_0030","0","PARTIAL"
"CDR0026","9876885707","9119863176","DL-SD-004","DL-NW-067","2025-02-07 00:00:00","834","MEDIUM","14.6","UNKNOWN","UNKNOWN","TXN_0002","0","PARTIAL"
"CDR0027","9877905438","9116666591","NO-S18-017","DL-ED-013","2025-01-26 00:00:00","945","DISTANT","22.3","UNKNOWN","UNKNOWN","TXN_0000","0","PARTIAL"
"CDR0028","9877949543","9118659103","GGN-DLF-023","DL-CP-001","2025-02-04 00:00:00","712","ROAMING","38.5","UNKNOWN","UNKNOWN","TXN_0068","0","PARTIAL"
"CDR0029","9870000029","9114910970","DL-WD-014","DL-NDLS-035","2025-01-24 00:00:00","1289","NEAR","7.4","S029","UNKNOWN","TXN_0100","0","PARTIAL"
"CDR0030","9875757902","9116123426","NO-C28-020","DL-SD-004","2025-02-03 00:00:00","567","MEDIUM","19.8","UNKNOWN","UNKNOWN","TXN_0083","0","PARTIAL"
"CDR0031","9878403549","9110000006","DL-CP-003","DL-ITO-036","2025-01-18 00:00:00","1092","NEAR","5.6","UNKNOWN","V006","TXN_0006","0","PARTIAL"
"CDR0032","9877238503","9112605088","GGN-MG-022","DL-CP-002","2025-02-10 00:00:00","834","DISTANT","35.2","UNKNOWN","UNKNOWN","TXN_0153","0","PARTIAL"
"CDR0033","9870000033","9117294347","DL-ND-010","GZB-VAP-030","2025-01-21 00:00:00","1156","ROAMING","47.1","S033","UNKNOWN","TXN_0014","0","PARTIAL"
"CDR0034","9872498726","9114527197","FBD-S32-027","NO-S62-018","2025-02-06 00:00:00","456","MEDIUM","26.4","UNKNOWN","UNKNOWN","TXN_0019","0","PARTIAL"
"CDR0035","9873753418","9113637534","DL-ED-013","DL-SN-045","2025-01-29 00:00:00","923","NEAR","9.3","UNKNOWN","UNKNOWN","TXN_0056","0","PARTIAL"
"CDR0036","9877442986","9116026983","GGN-IND-024","DL-WD-015","2025-02-08 00:00:00","678","DISTANT","33.6","UNKNOWN","UNKNOWN","TXN_0040","0","PARTIAL"
"CDR0037","9870000037","9110000007","NO-E8-022","DL-CP-001","2025-01-17 00:00:00","1234","ROAMING","41.8","S037","V007","TXN_0074","0","PARTIAL"
"CDR0038","9872191383","9115935567","DL-CP-002","GZB-GZB-031","2025-02-02 00:00:00","789","DISTANT","44.3","UNKNOWN","UNKNOWN","TXN_0060","0","PARTIAL"
"CDR0039","9871280001","9116599527","FBD-S64-028","DL-NDLS-035","2025-01-23 00:00:00","512","MEDIUM","24.6","UNKNOWN","UNKNOWN","TXN_0005","0","PARTIAL"
