phone,name,reported_loss,complaint_date
9876543210,Rajendra Kumar Agarwal,1847500,2024-01-10
9876543211,Suresh Mehra,540000,2024-01-12
9876543212,Priyanka Sharma,320000,2024-01-13
9876543213,Anil Kumar,150000,2024-01-14
9876543214,Sunita Devi,210000,2024-01-15
9876543215,Mohammad Zaheer,430000,2024-01-11
9876543216,Gurpreet Singh,980000,2024-01-09
9876543217,Ramesh Chand,120000,2024-01-08
9876543218,Sita Ram,650000,2024-01-07
9876543219,Deepak Gupta,340000,2024-01-06
9876543220,Kavita Singh,270000,2024-01-05
9876543221,Rahul Verma,890000,2024-01-04
