call_id,timestamp,caller_phone,caller_name,callee_phone,callee_name,duration_sec,call_type,cell_tower_id,lat,lon,tower_name,direction
CDR-V-001,2024-01-15T10:30:00Z,9870000001,Vikram Singh,9876543210,Rajendra Kumar Agarwal,120,VOICE,DELHI-CT-001,28.6304,77.2177,Connaught Place Tower,INCOMING
CDR-V-002,2024-01-15T11:45:00Z,9870001234,Vikram Singh (Alt),9876543210,Rajendra Kumar Agarwal,85,VOICE,DELHI-CT-002,28.6519,77.1909,Karol Bagh Tower,INCOMING
CDR-V-003,2024-01-15T14:20:00Z,9870000002,Priya Sharma,9876543210,Rajendra Kumar Agarwal,240,VOICE,DELHI-CT-003,28.6414,77.1214,Rajouri Garden Tower,INCOMING
CDR-V-004,2024-01-15T16:15:00Z,9870002345,Priya Sharma (Alt),9876543210,Rajendra Kumar Agarwal,180,VOICE,DELHI-CT-004,28.5921,77.0598,Dwarka Sector 10 Tower,INCOMING
CDR-V-005,2024-01-16T09:30:00Z,9870000001,Vikram Singh,9876543210,Rajendra Kumar Agarwal,95,VOICE,DELHI-CT-005,28.7428,77.1149,Rohini Sector 7 Tower,INCOMING
CDR-V-006,2024-01-16T12:45:00Z,9870000003,Amit Verma,9876543210,Rajendra Kumar Agarwal,150,VOICE,DELHI-CT-006,28.6942,77.1310,Pitampura Tower,INCOMING
CDR-V-007,2024-01-16T15:20:00Z,9870005678,Vikram Singh (Alt2),9876543210,Rajendra Kumar Agarwal,200,VOICE,DELHI-CT-007,28.6219,77.0854,Janakpuri Tower,INCOMING
CDR-V-008,2024-01-17T10:10:00Z,9897643888,Kiran Kumar,9876543210,Rajendra Kumar Agarwal,300,VOICE,DELHI-CT-008,28.5244,77.2066,Saket Tower,INCOMING
CDR-V-009,2024-01-17T13:55:00Z,9897644999,Kiran Kumar (Alt),9876543210,Rajendra Kumar Agarwal,125,VOICE,DELHI-CT-009,28.5494,77.2001,Hauz Khas Tower,INCOMING
CDR-V-010,2024-01-17T16:30:00Z,9893081840,Imran Nair,9876543210,Rajendra Kumar Agarwal,180,VOICE,DELHI-CT-010,28.5494,77.2501,Nehru Place Tower,INCOMING
CDR-V-011,2024-01-18T09:25:00Z,9893082000,Imran Nair (Alt),9876543210,Rajendra Kumar Agarwal,220,VOICE,DELHI-CT-011,28.5677,77.2435,Lajpat Nagar Tower,INCOMING
CDR-V-012,2024-01-18T11:40:00Z,9870000002,Priya Sharma,9876543210,Rajendra Kumar Agarwal,160,VOICE,DELHI-CT-012,28.5677,77.2244,South Extension Tower,INCOMING
CDR-V-013,2024-01-18T14:15:00Z,9858829785,Amit Nair,9876543210,Rajendra Kumar Agarwal,275,VOICE,DELHI-CT-013,28.5677,77.2310,Defence Colony Tower,INCOMING
CDR-V-014,2024-01-19T10:05:00Z,9870000001,Vikram Singh,9876543210,Rajendra Kumar Agarwal,190,VOICE,DELHI-CT-014,28.5494,77.2435,Greater Kailash Tower,INCOMING
CDR-V-015,2024-01-19T12:50:00Z,9858830000,Amit Nair (Alt),9876543210,Rajendra Kumar Agarwal,145,VOICE,DELHI-CT-015,28.5211,77.1586,Vasant Kunj Tower,INCOMING
CDR-V-016,2024-01-19T15:20:00Z,9838207184,Mohammad Sharma,9876543210,Rajendra Kumar Agarwal,210,VOICE,DELHI-CT-016,28.5628,77.1836,RK Puram Tower,INCOMING
CDR-V-017,2024-01-20T09:45:00Z,9870001234,Vikram Singh (Alt),9876543210,Rajendra Kumar Agarwal,115,VOICE,DELHI-CT-017,28.5959,77.1836,Chanakyapuri Tower,INCOMING
CDR-V-018,2024-01-20T13:10:00Z,9870000003,Amit Verma,9876543210,Rajendra Kumar Agarwal,170,VOICE,DELHI-CT-018,28.5959,77.1503,Dhaula Kuan Tower,INCOMING
CDR-V-019,2024-01-20T16:35:00Z,9897645000,Kiran Kumar (Alt2),9876543210,Rajendra Kumar Agarwal,195,VOICE,DELHI-CT-019,28.6519,77.1669,Patel Nagar Tower,INCOMING
CDR-V-020,2024-01-21T10:15:00Z,9893083000,Imran Nair (Alt2),9876543210,Rajendra Kumar Agarwal,240,VOICE,DELHI-CT-020,28.6836,77.2894,Shahdara Tower,INCOMING
CDR-V-021,2024-01-21T14:25:00Z,9870002345,Priya Sharma (Alt),9876543210,Rajendra Kumar Agarwal,135,VOICE,DELHI-CT-021,28.6428,77.2894,Preet Vihar Tower,INCOMING
CDR-V-022,2024-01-21T17:40:00Z,9838208000,Mohammad Sharma (Alt),9876543210,Rajendra Kumar Agarwal,265,VOICE,DELHI-CT-022,28.6353,77.2769,Laxmi Nagar Tower,INCOMING
CDR-V-023,2024-01-22T09:55:00Z,9870000001,Vikram Singh,9876543210,Rajendra Kumar Agarwal,155,VOICE,DELHI-CT-023,28.6078,77.2894,Mayur Vihar Tower,INCOMING
CDR-V-024,2024-01-22T12:30:00Z,9870001234,Ravi Kumar,9876543210,Rajendra Kumar Agarwal,200,VOICE,DELHI-CT-024,28.5678,77.3244,Noida Sector 18 Tower,INCOMING
CDR-V-025,2024-01-22T15:45:00Z,9893084000,Imran Nair (Alt3),9876543210,Rajendra Kumar Agarwal,175,VOICE,DELHI-CT-025,28.6411,77.3744,Indirapuram Tower,INCOMING
