caller_phone,callee_phone,timestamp,duration_sec,lat,lon,cell_tower_id
9889103160,9160465575,2024-07-20T19:24:00.000Z,745,15.452946,87.597437,HP-049256
9860341960,9163948846,2024-09-06T16:01:00.000Z,864,16.332844,83.802164,TR-023912
9889940056,9171192229,2024-07-23T23:07:00.000Z,2418,33.106465,80.93617,KA-045479
9838460862,9141638542,2024-11-03T04:04:00.000Z,1116,26.106889,91.569872,AS-003668
9895231627,9132442105,2024-04-11T20:34:00.000Z,1129,33.108051,90.160685,UP-025710
9826987400,9167897435,2024-12-10T04:47:00.000Z,87,23.407041,91.55264,MN-029230
9821922938,9117023113,2024-06-02T12:40:00.000Z,3457,31.200729,94.578941,TN-046978
9872576948,9178391807,2024-03-21T10:51:00.000Z,650,14.047255,78.118035,MH-012806
9835655833,9175570522,2024-02-25T02:27:00.000Z,3043,23.874944,86.555818,RJ-029465
9877831729,9193968631,2024-11-18T00:27:00.000Z,2613,27.792565,74.636791,UK-035069
9812302022,9111584012,2024-11-15T01:43:00.000Z,270,21.632225,93.03459,HR-026404
9840869786,9121225235,2024-07-05T01:44:00.000Z,2498,36.118245,91.698344,MH-001536
9869292898,9132786502,2024-11-13T09:51:00.000Z,1032,25.393725,84.469226,HP-035436
9895009310,9128710730,2024-09-03T18:56:00.000Z,1816,29.160771,79.575683,OR-031599
9821173609,9133945806,2024-07-10T06:23:00.000Z,2650,29.062738,78.442216,KA-019994
9834719712,9115110597,2024-09-02T18:34:00.000Z,646,15.433496,76.613302,RJ-001609
9849910950,9125927067,2024-03-08T13:40:00.000Z,2710,9.752316,82.593876,OR-007470
9812297787,9184323292,2024-01-25T23:05:00.000Z,1459,12.86123,93.384677,CG-014060
9894467623,9152430130,2024-09-16T10:52:00.000Z,2054,14.659764,68.765783,MN-048600
9822736384,9131211508,2024-01-22T14:10:00.000Z,1122,32.482759,71.775061,SK-014996
9812611438,9161903650,2024-02-24T15:05:00.000Z,909,9.890311,88.133159,TN-035770
9836819954,9177620015,2024-05-27T14:30:00.000Z,2839,24.075197,89.285865,HR-010655
9881404561,9168455873,2024-01-15T12:43:00.000Z,2803,15.516335,80.855233,PB-047969
9812808386,9165534230,2024-09-11T14:06:00.000Z,1895,18.996203,79.646083,RJ-021330
9814604501,9182731193,2024-08-03T06:07:00.000Z,711,14.8044,85.929733,KA-002132
9876247919,9181395463,2024-01-17T18:04:00.000Z,3452,31.238775,89.186834,JH-012251
9831455542,9162506640,2024-01-21T05:36:00.000Z,3221,28.719293,79.712646,GJ-042318
9829462009,9124219310,2024-02-27T22:18:00.000Z,583,11.941995,68.665752,MP-043017
9845468040,9134691847,2024-09-14T10:50:00.000Z,3057,31.636634,79.152338,UP-032358
9816594882,9186174633,2024-02-03T13:28:00.000Z,363,14.307889,68.504816,CG-021716
9875087280,9187861137,2024-08-03T09:47:00.000Z,1322,34.636533,77.954332,UP-001613
