phone,name,risk,alias,network_role
9899828514,"Sunita Khan",MEDIUM,Tiger,HACKER
9897643888,"Kiran Kumar",CRITICAL,Money King,FINANCIER
9858829785,"Amit Nair",HIGH,Ghost,ENFORCER
9854798750,"Sanjay Singh",MEDIUM,Tech Wizard,HACKER
9879462413,"Vikram Singh",LOW,Shadow,MULE
9838207184,"Mohammad Sharma",HIGH,Mastermind,ENFORCER
9818439399,"Priya Gupta",MEDIUM,Tech Wizard,MULE
9893081840,"Imran Nair",CRITICAL,The Don,BROKER
9889195593,"Vikram Gupta",LOW,Ghost,BROKER
9889326592,"Rahul Rao",LOW,Shadow,MULE
9848927287,"Arun Nair",LOW,Tiger,CONNECTOR
9834672164,"Geeta Joshi",LOW,Shadow,BROKER
9853533031,"Imran Verma",HIGH,Ghost,HACKER
9841700887,"Rajesh Yadav",LOW,The Don,MULE
9860216708,"Zara Reddy",HIGH,Fox,CONNECTOR
9868262965,"Mohammad Rao",CRITICAL,Leopard,MULE
9848461685,"Geeta Menon",HIGH,Leopard,MULE
9814757021,"Kiran Nair",HIGH,Money King,BROKER
9888547751,"Meena Patel",HIGH,Shadow,KINGPIN
9856591564,"Farooq Patel",CRITICAL,Fox,MULE
9859306729,"Deepak Mishra",MEDIUM,Ghost,RECRUITER
9822859758,"Pooja Mishra",MEDIUM,Leopard,ENFORCER
9878703694,"Suresh Menon",CRITICAL,Leopard,CONNECTOR
9812168373,"Abdul Menon",LOW,Fox,CALLER
9856041809,"Deepak Joshi",MEDIUM,Tiger,SIM_PROVIDER
9859358950,"Vikram Menon",HIGH,Shadow,MULE
9814313274,"Arun Khan",CRITICAL,Money King,MULE
9848239539,"Amit Gupta",LOW,Shadow,SIM_PROVIDER
9864390686,"Vikram Gupta",CRITICAL,Leopard,CALLER
9878311804,"Priya Bhat",HIGH,Shadow,ENFORCER
9845501584,"Amit Khan",HIGH,Fox,RECRUITER
9850443577,"Mohammad Singh",HIGH,Fox,MULE
9857377664,"Rahul Nair",LOW,Mastermind,SIM_PROVIDER
9812649012,"Rajesh Sharma",LOW,Tech Wizard,CONNECTOR
9824969630,"Priya Rao",LOW,Shadow,KINGPIN
9840367728,"Rajesh Sharma",MEDIUM,The Don,FINANCIER
9883366822,"Rajesh Patel",HIGH,The Don,BROKER
9817077868,"Zara Singh",MEDIUM,Fox,FINANCIER
9845352829,"Geeta Khan",CRITICAL,Ghost,CONNECTOR
9838347427,"Imran Patel",MEDIUM,Tiger,HACKER
9835947461,"Vikram Bhat",HIGH,Hawk,ENFORCER
9887636188,"Sunita Nair",LOW,Fox,HACKER
9889297401,"Vikram Gupta",LOW,Ghost,SIM_PROVIDER
