from_phone,to_phone,amount,timestamp,type,suspicious_score
9891812953,9198747370,778128,2024-05-15T19:46:00.000Z,IMPS,0.07
9860599539,9118401220,136161,2024-09-11T02:50:00.000Z,UPI,0.92
9812150498,9135845182,132949,2024-11-12T09:22:00.000Z,IMPS,0.24
9833906594,9159497205,562520,2024-05-22T17:46:00.000Z,UPI,0.24
9850584572,9122983076,575448,2024-06-15T10:33:00.000Z,IMPS,0.57
9871992215,9197953784,315893,2024-03-08T19:34:00.000Z,UPI,0.39
9868556129,9156019725,822104,2024-01-12T03:02:00.000Z,WALLET,0.87
9869725303,9186656156,493317,2024-12-14T23:06:00.000Z,IMPS,0.29
9834924121,9155320100,870108,2024-12-01T13:29:00.000Z,RTGS,0.02
9853477834,9153280564,725276,2024-08-22T10:23:00.000Z,RTGS,0.96
9882344420,9189366005,492483,2024-11-15T22:44:00.000Z,NEFT,0.28
9890208252,9160030302,350413,2024-07-13T20:23:00.000Z,IMPS,0.34
9898398483,9199059653,723140,2024-04-27T09:23:00.000Z,CARD,0.6
9817526186,9158946591,19063,2024-02-13T03:54:00.000Z,RTGS,0.58
9833605781,9137990037,626281,2024-03-22T05:52:00.000Z,UPI,0.59
9844514417,9193234150,801592,2024-06-09T08:36:00.000Z,CARD,0.38
9814280832,9155164107,133433,2024-04-20T00:17:00.000Z,NEFT,0.6
9834319978,9136336069,383609,2024-02-05T02:35:00.000Z,NEFT,0.62
9835846190,9121933340,798586,2024-11-26T12:23:00.000Z,WALLET,0.93
9840413075,9126078937,204740,2024-08-04T08:42:00.000Z,UPI,0.58
9855073591,9162032017,743632,2024-12-05T05:15:00.000Z,IMPS,0.67
9826313173,9175128339,197772,2024-06-03T16:10:00.000Z,CARD,0.94
9851676167,9156652970,120842,2024-04-14T00:23:00.000Z,WALLET,0.83
9824437131,9125706724,97667,2024-12-26T23:41:00.000Z,RTGS,0.4
9874420901,9166188817,329293,2024-01-31T23:45:00.000Z,UPI,0.53
9886919183,9137573903,754312,2024-12-23T07:17:00.000Z,NEFT,0.76
9877757977,9193559221,61609,2024-05-23T15:27:00.000Z,IMPS,0
9838103619,9151666671,309697,2024-02-27T06:28:00.000Z,UPI,0.47
9882571303,9123294568,818577,2024-03-04T12:12:00.000Z,RTGS,0.02
9864827905,9197957384,661703,2024-01-18T21:29:00.000Z,UPI,0.63
9890544551,9137789938,364121,2024-11-07T15:46:00.000Z,CARD,0.2
9863284982,9179702528,42147,2024-01-11T01:48:00.000Z,IMPS,0.91
9859154302,9112177013,751911,2024-03-24T08:04:00.000Z,WALLET,0.86
9848062037,9194649103,436247,2024-02-28T15:27:00.000Z,WALLET,0.9
9855268755,9124684421,222070,2024-05-21T11:25:00.000Z,UPI,0.04
9850623004,9195677883,29703,2024-07-23T08:10:00.000Z,NEFT,0.24
9867854569,9173543861,261692,2024-04-16T22:34:00.000Z,NEFT,0.24
9882775775,9163775816,617436,2024-08-04T03:49:00.000Z,IMPS,0.86
9885387554,9136790400,178726,2024-07-21T12:05:00.000Z,NEFT,0.83
9895410047,9194926642,522342,2024-04-01T21:09:00.000Z,IMPS,0.68
9899629202,9161238847,222066,2024-09-08T07:12:00.000Z,RTGS,0.65
9828423911,9150710148,250100,2024-08-28T17:16:00.000Z,UPI,0.36
9879638370,9112313551,611100,2024-03-22T03:50:00.000Z,CARD,0.15
9820842753,9189753058,350418,2024-10-04T14:23:00.000Z,NEFT,0.45
9812572788,9143899957,781144,2024-12-01T16:29:00.000Z,CARD,0.25
9831542825,9145854486,859879,2024-06-16T06:46:00.000Z,NEFT,0.31
9890334194,9134416673,28231,2024-01-10T00:56:00.000Z,NEFT,0.23
9819221074,9165138790,837527,2024-10-03T16:05:00.000Z,IMPS,0.16
9834681185,9181876278,831416,2024-07-24T21:29:00.000Z,NEFT,1
9825168299,9140962321,827522,2024-08-23T14:50:00.000Z,IMPS,0.44
9830265657,9157429660,28577,2024-02-04T09:45:00.000Z,WALLET,0.98
9847641094,9191789044,546960,2024-08-17T22:16:00.000Z,UPI,0.64
9887469078,9115523467,908564,2024-11-02T11:54:00.000Z,NEFT,0.36
9882429941,9159489643,274236,2024-06-06T06:14:00.000Z,WALLET,0.24
9897283673,9180588532,516074,2024-09-02T12:34:00.000Z,CARD,0.99
9855859611,9152096831,515186,2024-06-05T05:27:00.000Z,RTGS,0.56
9896938353,9119361492,133003,2024-09-13T13:51:00.000Z,IMPS,0.44
9842114735,9158062016,894552,2024-07-03T07:00:00.000Z,NEFT,0.87
9834046195,9147375927,748905,2024-04-14T09:29:00.000Z,IMPS,0.41
9881522635,9128971335,910509,2024-10-07T14:39:00.000Z,CARD,0.34
9823424301,9129758935,663847,2024-12-20T06:01:00.000Z,IMPS,0.04
9829596769,9138614475,465600,2024-01-01T11:15:00.000Z,IMPS,0.1
9818839502,9155452579,837609,2024-04-09T12:16:00.000Z,WALLET,0.02
9894601079,9146444381,211869,2024-04-04T23:48:00.000Z,CARD,0.93
9867682735,9163041014,969228,2024-02-18T04:48:00.000Z,UPI,0.29
9893839692,9149009391,830982,2024-07-13T11:05:00.000Z,RTGS,0.48
9866242784,9163284232,597752,2024-05-27T14:23:00.000Z,WALLET,0.18
9859337315,9170692382,625597,2024-06-11T18:34:00.000Z,NEFT,0.29
9816439344,9199317577,519471,2024-06-08T09:50:00.000Z,CARD,0.87
9848433773,9122729620,605487,2024-02-10T05:31:00.000Z,WALLET,0.67
9828137259,9116012982,873350,2024-07-18T05:02:00.000Z,CARD,0.44
9870253102,9192761985,618982,2024-07-27T15:08:00.000Z,NEFT,0.2
9879568377,9114170158,194201,2024-05-13T17:14:00.000Z,NEFT,0.32
9855842706,9156974259,918302,2024-12-28T07:44:00.000Z,UPI,0.36
9891873375,9181752583,587497,2024-07-09T06:34:00.000Z,IMPS,0.55
9858718769,9163177782,185526,2024-10-17T08:39:00.000Z,CARD,0.82
9815932555,9175641180,739972,2024-01-21T10:19:00.000Z,NEFT,0.33
9873664181,9126535183,362860,2024-05-26T10:33:00.000Z,IMPS,0.25
9827957218,9116900061,661994,2024-07-18T04:41:00.000Z,NEFT,0.96
9864997755,9148874811,955234,2024-07-16T20:01:00.000Z,WALLET,0.88
9890332394,9166388462,626543,2024-03-01T19:14:00.000Z,IMPS,0.9
9853725924,9131157625,4277,2024-04-13T22:46:00.000Z,IMPS,0.89
9831947128,9163348968,85927,2024-05-19T23:21:00.000Z,NEFT,0.07
9875543198,9169844042,866980,2024-09-01T05:14:00.000Z,IMPS,0.42
9874773745,9121119910,972688,2024-10-19T12:16:00.000Z,UPI,0.01
9823617459,9112881273,897481,2024-06-26T10:42:00.000Z,WALLET,0.74
9841595844,9189280820,546885,2024-10-24T02:12:00.000Z,RTGS,0
9870994346,9180080096,859588,2024-09-04T12:51:00.000Z,NEFT,0.66
9852246337,9163844278,37788,2024-11-25T17:57:00.000Z,WALLET,0.08
9899692632,9162014711,925960,2024-07-13T11:56:00.000Z,NEFT,0.3
9832992348,9134171352,157665,2024-11-04T06:47:00.000Z,RTGS,0.47
9853688760,9174300722,143569,2024-11-07T18:56:00.000Z,WALLET,0.26
9881720673,9150493084,664367,2024-05-10T04:11:00.000Z,NEFT,0.01
9851261775,9130711001,838586,2024-08-01T19:10:00.000Z,CARD,0.16
9857278390,9155452715,628280,2024-05-11T09:39:00.000Z,IMPS,0.59
9820298233,9194718238,544572,2024-01-16T13:34:00.000Z,NEFT,0.48
9822305593,9175190069,268380,2024-09-11T17:33:00.000Z,UPI,0.91
9849727662,9161896678,853937,2024-12-28T06:25:00.000Z,UPI,0.81
9893618651,9199867796,525629,2024-03-16T16:52:00.000Z,WALLET,0.73
9840438492,9129747129,590474,2024-07-21T06:00:00.000Z,NEFT,0.98
9869791707,9157344120,830358,2024-10-11T08:56:00.000Z,CARD,0.4
9879828817,9193203435,103600,2024-03-08T01:13:00.000Z,CARD,0.25
9893244247,9165188490,67584,2024-04-04T04:05:00.000Z,IMPS,0.62
9822724730,9125414596,562348,2024-02-24T08:04:00.000Z,RTGS,0.6
