phone,name,reported_loss,complaint_date
9160581108,"Shyam Kapoor",1078952,2024-07-15
9144064294,"Kamla Iyer",123330,2024-09-02
9154360731,"Ajay Mukherjee",2633311,2024-08-21
9127610272,"Lata Qureshi",2356135,2024-05-03
9184420019,"Shyam Hegde",1875704,2024-05-05
9137880963,"Shyam Mukherjee",4932773,2024-11-16
9171422660,"Ravi Jain",3625688,2024-01-20
9177871845,"Kamla Iyer",913318,2024-04-13
9166685038,"Mohan Naidu",2376183,2024-04-12
9161261591,"Lata Roy",3999613,2024-12-12
9168418481,"Shyam Jain",3714742,2024-11-13
9116832495,"Anita Iyer",2551917,2024-08-23
9110807993,"Sunil Dubey",3144778,2024-04-07
9133537052,"Ajay Pandey",295147,2024-10-13
9151048213,"Sunil Kapoor",4665526,2024-02-02
9193425733,"Mohan Bansal",3956633,2024-06-24
9163679931,"Vijay Pandey",625920,2024-05-13
9147190483,"Ravi Lal",990426,2024-12-08
9146594952,"Sunil Kapoor",738377,2024-05-04
9184119440,"Ravi Qureshi",4087222,2024-12-13
9126800042,"Sita Bansal",1831731,2024-07-09
9134025185,"Ramesh Gandhi",1247225,2024-08-27
9160208869,"Ajay Pandey",473691,2024-12-20
9128024738,"Ajay Roy",3547557,2024-03-01
9151898285,"Vijay Iyer",1413057,2024-02-22
9118197677,"Ajay Lal",3361396,2024-02-10
9189459290,"Kamla Choudhary",2592254,2024-11-07
9160093665,"Gopal Iyer",3748093,2024-06-22
9174944649,"Sunil Mukherjee",3183637,2024-07-23
9152801319,"Suresh Agarwal",883425,2024-11-22
9191182752,"Mohan Agarwal",1578920,2024-06-04
9199628585,"Ravi Roy",29226,2024-06-14
9172166333,"Rita Iyer",1387037,2024-03-20
9187596138,"Mohan Iyer",2102537,2024-11-03
9149203710,"Rita Agarwal",3350139,2024-02-17
9191538181,"Gopal Roy",812704,2024-08-03
9130006744,"Gopal Kapoor",3473051,2024-07-24
9125192883,"Shyam Agarwal",3620486,2024-10-31
9114399540,"Sunil Agarwal",179786,2024-11-30
9155570403,"Kamla Dubey",4404205,2024-10-01
9174373417,"Gopal Roy",760752,2024-12-19
9185802687,"Uma Lal",673885,2024-02-16
9135356348,"Ravi Hegde",2202997,2024-06-23
9162119357,"Vijay Jain",2869007,2024-01-10
9197965476,"Mohan Lal",3340474,2024-07-27
9118692958,"Rita Gandhi",3641369,2024-12-19
9112996717,"Suresh Agarwal",2369710,2024-11-19
9125180404,"Anita Iyer",3969432,2024-04-02
9161796952,"Shyam Iyer",1102461,2024-05-16
9157331947,"Uma Roy",872663,2024-02-01
9115902716,"Ajay Kapoor",2721178,2024-03-21
9169001939,"Sunil Roy",323432,2024-04-16
9198185843,"Sunil Roy",4387767,2024-12-20
9141668317,"Rita Iyer",3507986,2024-07-11
9128059569,"Mohan Iyer",2225897,2024-04-24
9163235058,"Suresh Qureshi",4046842,2024-07-13
9169352524,"Uma Pandey",2356346,2024-12-01
9175339215,"Suresh Mukherjee",3994593,2024-02-14
9154472826,"Shyam Dubey",4130032,2024-01-02
9186178843,"Suresh Hegde",4140293,2024-01-08
9154546837,"Vijay Pandey",2867584,2024-06-05
9130651522,"Rita Bansal",442866,2024-03-26
9154296828,"Anita Lal",3216993,2024-09-16
9179133035,"Suresh Bansal",3943906,2024-02-29
9118798806,"Shyam Lal",4939356,2024-12-26
9138287695,"Lata Roy",1761343,2024-07-04
9110768374,"Shyam Naidu",1296051,2024-01-20
9167810853,"Vijay Naidu",2440344,2024-09-11
9171907352,"Kamla Naidu",3062606,2024-05-17
9112439627,"Ravi Choudhary",4502950,2024-01-13
9197866072,"Ramesh Naidu",278278,2024-08-05
9151754975,"Rita Bansal",4956891,2024-09-05
9192569706,"Lata Pandey",3773169,2024-03-04
9164124312,"Shyam Iyer",4645588,2024-11-27
9184701492,"Shyam Roy",3743799,2024-12-15
9123894339,"Shyam Kapoor",2551433,2024-02-03
9129536161,"Suresh Qureshi",4576786,2024-07-26
9165651501,"Vijay Iyer",4266099,2024-08-03
9131086859,"Rita Jain",387319,2024-09-07
9127487399,"Ramesh Bansal",2084327,2024-03-27
9139380150,"Shyam Hegde",4880979,2024-03-23
9192567491,"Sita Hegde",1995862,2024-10-19
9186781877,"Kamla Jain",4406360,2024-11-01
9112955847,"Gopal Pandey",1304995,2024-04-13
9129852481,"Kamla Roy",373172,2024-06-01
9199118621,"Suresh Roy",2668138,2024-02-23
9142298662,"Mohan Mukherjee",3065925,2024-11-19
9161740466,"Vijay Agarwal",1894392,2024-04-09
9183869579,"Ajay Choudhary",2924262,2024-11-17
9167209489,"Kamla Lal",2348617,2024-05-18
9165907732,"Shyam Hegde",2615687,2024-12-18
9164600386,"Gopal Choudhary",3512310,2024-01-26
9176362189,"Anita Gandhi",1101841,2024-07-14
9153760169,"Anita Gandhi",4979237,2024-11-11
9163920116,"Shyam Pandey",3694119,2024-11-20
9197921133,"Sita Choudhary",1361297,2024-06-03
9188387983,"Anita Kapoor",1667780,2024-11-21
9168291381,"Ravi Choudhary",2406940,2024-05-06
9194726493,"Vijay Mukherjee",2392188,2024-03-25
9155989298,"Shyam Mukherjee",366670,2024-09-21
9187376662,"Gopal Kapoor",3775368,2024-05-04
9119845996,"Ajay Mukherjee",3840139,2024-01-31
9193676861,"Kamla Naidu",4945389,2024-01-09
9118902125,"Ravi Jain",639700,2024-11-21
9112690557,"Shyam Iyer",3209959,2024-01-20
9163258351,"Vijay Bansal",3142976,2024-02-18
9169727496,"Vijay Choudhary",700889,2024-02-05
9152737131,"Ajay Mukherjee",455406,2024-07-15
9118343462,"Kamla Hegde",4162664,2024-04-11
9122636466,"Vijay Lal",66060,2024-07-08
9141461556,"Kamla Roy",882989,2024-12-11
9114094666,"Anita Mukherjee",4393689,2024-07-09
9192324925,"Sita Bansal",4163463,2024-04-26
9122277088,"Kamla Lal",918786,2024-11-04
9172807542,"Sita Bansal",3422882,2024-05-31
9178465731,"Shyam Roy",1843387,2024-09-23
9148009046,"Gopal Qureshi",4544401,2024-04-09
9110676486,"Anita Gandhi",2995074,2024-10-20
9123443975,"Rita Qureshi",2913416,2024-08-13
